0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:54:42 +0900] "GET /resources/img/index.jpg HTTP/1.1" 200 2855162
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:54:42 +0900] "GET /resources/img/top.jpg HTTP/1.1" 200 142906
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:54:42 +0900] "GET /resources/img/footer.jpg HTTP/1.1" 200 618117
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:54:44 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:08 +0900] "GET /index HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:08 +0900] "GET /resources/img/top.jpg HTTP/1.1" 200 142906
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:08 +0900] "GET /resources/img/footer.jpg HTTP/1.1" 200 618117
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:08 +0900] "GET /resources/img/logo.png HTTP/1.1" 200 1289500
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:08 +0900] "GET /resources/img/index.jpg HTTP/1.1" 200 2855162
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:10 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:21 +0900] "GET /index HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:21 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:26 +0900] "GET /index HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:26 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:26 +0900] "GET /index HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:27 +0900] "GET /resources/img/top.jpg HTTP/1.1" 200 142906
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:27 +0900] "GET /resources/img/footer.jpg HTTP/1.1" 200 618117
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:27 +0900] "GET /resources/img/logo.png HTTP/1.1" 200 1289500
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:56:27 +0900] "GET /index HTTP/1.1" 200 4663
